學年度,學校體系別,設立別,學校代碼,學校名稱,領域代碼/名稱,學門代碼/名稱,學類代碼/名稱,細學類代碼/名稱,科系代碼,科系名稱,日間/進修別,等級別,學生數總計,學生數男,學生數女
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,63,21,42
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,116,19,97
111,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,B 學士,184,51,133
110,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,64,24,40
110,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,139,24,115
109,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,57,19,38
109,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,129,22,107
108,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,57,19,38
108,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,117,22,95
107,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,66,22,44
107,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,100,21,79
106,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,D 博士,66,24,42
106,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,M 碩士,113,23,90
106,一般,公立,0002,國立清華大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,01111084,教育與學習科技學系,D 日,B 學士,346,92,254
105,一般,公立,0038,國立清華大學南大校區(原：國立新竹教育大學),01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,D 博士,63,28,35
105,一般,公立,0038,國立清華大學南大校區(原：國立新竹教育大學),01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系－課程與教學組,D 日,M 碩士,54,11,43
105,一般,公立,0038,國立清華大學南大校區(原：國立新竹教育大學),01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系－行政與評鑑組,D 日,M 碩士,52,12,40
105,一般,公立,0038,國立清華大學南大校區(原：國立新竹教育大學),01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,B 學士,360,85,275
104,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,D 博士,58,26,32
104,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,M 碩士,106,32,74
104,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,B 學士,351,83,268
103,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系博士班,D 日,D 博士,57,24,33
103,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系碩士班,D 日,M 碩士,107,30,77
103,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,B 學士,343,66,277
102,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系博士班,D 日,D 博士,52,23,29
102,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系碩士班,D 日,M 碩士,97,26,71
102,一般,公立,0038,國立新竹教育大學,01 教育領域,011 教育學門,0111 教育學學類,01111 綜合教育細學類,140122,教育與學習科技學系,D 日,B 學士,332,70,262
